timestamp_ms, ax_mps2, ay_mps2, az_mps2, gx_rads, gy_rads, gz_rads, temp_c
1552,3.929,-1.034,9.270,0.538,-0.413,-0.403,25.520
1572,3.896,-1.029,9.222,-0.299,0.115,0.211,25.508
1582,3.886,-1.015,9.232,-0.038,0.010,0.005,25.570
1592,3.934,-1.034,9.255,-0.006,-0.001,-0.024,25.570
1602,3.943,-1.029,9.289,-0.002,-0.002,-0.024,25.582
1612,3.948,-1.038,9.313,-0.001,-0.002,-0.022,25.582
1622,3.958,-1.048,9.327,-0.002,-0.004,-0.018,25.574
1632,3.934,-1.048,9.337,-0.007,-0.005,-0.016,25.574
1642,3.924,-1.048,9.318,-0.012,-0.001,-0.015,25.566
1652,3.905,-1.091,9.346,-0.015,0.002,-0.017,25.566
1662,3.881,-1.101,9.356,-0.012,0.004,-0.023,25.590
1672,3.896,-1.086,9.370,-0.011,-0.001,-0.028,25.590
1682,3.900,-1.082,9.361,-0.011,-0.009,-0.031,25.617
1692,3.924,-1.062,9.342,-0.016,-0.012,-0.029,25.617
1702,3.924,-1.048,9.322,-0.018,-0.012,-0.026,25.637
1712,3.915,-1.038,9.294,-0.018,-0.007,-0.026,25.637
1722,3.905,-1.062,9.251,-0.020,-0.005,-0.029,25.602
1732,3.939,-1.024,9.260,-0.020,-0.005,-0.032,25.602
1742,3.948,-1.005,9.227,-0.020,-0.004,-0.031,25.570
1752,3.991,-1.000,9.246,-0.015,-0.002,-0.028,25.570
1762,3.963,-1.005,9.217,-0.012,-0.001,-0.026,25.598
1772,3.972,-1.005,9.255,-0.009,-0.001,-0.023,25.598
1782,3.948,-1.015,9.251,-0.007,-0.001,-0.020,25.605
1792,3.963,-1.029,9.289,-0.006,0.002,-0.020,25.605
1802,3.943,-1.072,9.299,-0.005,0.005,-0.022,25.605
1812,3.939,-1.077,9.332,-0.004,0.005,-0.026,25.605
1822,3.953,-1.038,9.322,-0.006,0.001,-0.024,25.582
1832,3.996,-1.048,9.313,-0.007,-0.001,-0.021,25.582
1842,3.939,-1.067,9.318,-0.010,0.000,-0.017,25.598
1852,3.919,-1.072,9.332,-0.012,0.004,-0.013,25.598
1862,3.900,-1.077,9.322,-0.012,0.004,-0.016,25.664
1872,3.905,-1.062,9.308,-0.013,0.001,-0.021,25.664
1882,3.915,-1.048,9.284,-0.012,-0.001,-0.026,25.598
1892,3.939,-1.053,9.270,-0.012,-0.002,-0.028,25.598
1902,3.939,-1.015,9.260,-0.010,-0.001,-0.026,25.605
1912,3.963,-1.015,9.246,-0.007,0.002,-0.023,25.605
