timestamp_ms, ax_mps2, ay_mps2, az_mps2, gx_rads, gy_rads, gz_rads, temp_c
1551,0.258,-0.584,11.160,4.936,-3.411,-5.597,26.402
1561,0.220,-0.502,10.088,2.018,-1.395,-1.400,26.402
1571,0.201,-0.479,10.093,0.120,-0.039,-0.099,26.457
1581,0.220,-0.479,10.102,0.112,-0.044,-0.109,26.457
1591,0.215,-0.488,10.107,0.082,-0.037,-0.098,26.398
1601,0.230,-0.483,10.102,-0.001,-0.001,-0.037,26.398
1621,0.239,-0.488,10.088,-0.012,0.006,-0.028,26.379
1631,0.239,-0.502,10.093,-0.012,0.006,-0.028,26.379
1641,0.234,-0.507,10.079,-0.012,0.005,-0.027,26.391
1651,0.234,-0.517,10.074,-0.012,0.005,-0.028,26.391
1661,0.239,-0.522,10.088,-0.013,0.005,-0.027,26.359
1671,0.234,-0.493,10.093,-0.013,0.005,-0.027,26.359
1681,0.249,-0.488,10.102,-0.012,0.006,-0.027,26.379
1691,0.234,-0.493,10.079,-0.012,0.006,-0.027,26.379
1701,0.225,-0.493,10.107,-0.012,0.005,-0.027,26.375
1711,0.234,-0.474,10.064,-0.012,0.006,-0.027,26.375
1721,0.234,-0.493,10.079,-0.012,0.006,-0.027,26.363
1731,0.239,-0.488,10.074,-0.012,0.006,-0.027,26.363
1741,0.244,-0.522,10.093,-0.012,0.006,-0.027,26.375
1751,0.254,-0.507,10.093,-0.012,0.006,-0.027,26.375
1761,0.234,-0.507,10.098,-0.012,0.006,-0.026,26.398
1771,0.234,-0.488,10.074,-0.012,0.006,-0.026,26.398
1781,0.244,-0.493,10.093,-0.012,0.006,-0.026,26.363
1791,0.254,-0.502,10.131,-0.012,0.006,-0.026,26.363
1801,0.225,-0.483,10.088,-0.012,0.006,-0.026,26.348
1811,0.230,-0.507,10.064,-0.012,0.005,-0.026,26.348
1821,0.215,-0.488,10.079,-0.012,0.005,-0.026,26.406
1831,0.244,-0.522,10.093,-0.012,0.005,-0.027,26.406
1841,0.244,-0.498,10.079,-0.012,0.005,-0.027,26.359
1851,0.215,-0.498,10.088,-0.012,0.006,-0.027,26.359
1861,0.215,-0.517,10.083,-0.013,0.006,-0.027,26.348
1871,0.249,-0.483,10.088,-0.013,0.006,-0.027,26.348
1881,0.225,-0.483,10.064,-0.012,0.006,-0.027,26.418
1891,0.244,-0.488,10.088,-0.013,0.006,-0.027,26.418
1901,0.244,-0.493,10.069,-0.012,0.006,-0.027,26.402
1911,0.230,-0.493,10.098,-0.012,0.005,-0.027,26.402
1921,0.239,-0.502,10.088,-0.012,0.005,-0.026,26.387
1931,0.254,-0.502,10.079,-0.012,0.006,-0.027,26.387
1941,0.268,-0.483,10.079,-0.012,0.006,-0.026,26.375
1951,0.244,-0.488,10.069,-0.013,0.006,-0.027,26.375
1961,0.239,-0.493,10.088,-0.012,0.006,-0.027,26.352
1971,0.234,-0.522,10.102,-0.012,0.006,-0.027,26.352
1981,0.225,-0.498,10.083,-0.012,0.006,-0.027,26.371
1991,0.225,-0.507,10.083,-0.012,0.006,-0.027,26.371
2001,0.211,-0.526,10.093,-0.012,0.006,-0.026,26.363
2011,0.220,-0.517,10.079,-0.012,0.006,-0.026,26.363
2021,0.244,-0.517,10.098,-0.012,0.005,-0.027,26.410
2031,0.263,-0.512,10.074,-0.012,0.006,-0.027,26.410
2041,0.258,-0.512,10.074,-0.013,0.006,-0.026,26.367
2051,0.239,-0.498,10.069,-0.012,0.006,-0.027,26.367
2061,0.249,-0.502,10.112,-0.012,0.005,-0.027,26.383
2071,0.239,-0.498,10.035,-0.011,0.006,-0.027,26.383
2081,0.234,-0.493,10.079,-0.012,0.005,-0.026,26.348
2091,0.244,-0.502,10.131,-0.013,0.005,-0.027,26.348
2101,0.215,-0.502,10.059,-0.011,0.007,-0.027,26.402
2111,0.225,-0.493,10.117,-0.013,0.005,-0.027,26.402
2121,0.191,-0.498,10.088,-0.013,0.007,-0.027,26.371
2131,0.220,-0.493,10.098,-0.012,0.006,-0.026,26.371
2141,0.196,-0.502,10.064,-0.012,0.007,-0.026,26.367
2151,0.201,-0.517,10.098,-0.012,0.005,-0.026,26.367
2161,0.206,-0.488,10.064,-0.012,0.007,-0.027,26.367
2171,0.263,-0.483,10.093,-0.012,0.005,-0.026,26.367
2181,0.258,-0.512,10.088,-0.012,0.005,-0.027,26.379
2191,0.254,-0.488,10.098,-0.011,0.006,-0.026,26.379
2201,0.263,-0.493,10.102,-0.012,0.007,-0.026,26.391
2211,0.244,-0.498,10.074,-0.013,0.007,-0.026,26.391
2221,0.244,-0.502,10.069,-0.012,0.006,-0.027,26.367
2231,0.196,-0.498,10.098,-0.012,0.005,-0.026,26.367
2241,0.187,-0.502,10.112,-0.012,0.005,-0.027,26.410
2251,0.201,-0.488,10.088,-0.012,0.007,-0.026,26.410
2261,0.225,-0.483,10.098,-0.012,0.007,-0.027,26.367
2271,0.215,-0.493,10.098,-0.012,0.006,-0.026,26.367
2281,0.239,-0.488,10.002,-0.012,0.007,-0.026,26.363
2291,0.263,-0.483,10.074,-0.012,0.006,-0.026,26.363
2301,0.254,-0.502,10.083,-0.013,0.006,-0.027,26.355
2311,0.258,-0.498,10.069,-0.012,0.006,-0.027,26.355
2321,0.258,-0.493,10.069,-0.013,0.006,-0.027,26.371
2331,0.244,-0.493,10.050,-0.012,0.006,-0.027,26.371
2341,0.225,-0.498,10.059,-0.012,0.005,-0.027,26.371
2351,0.196,-0.502,10.045,-0.012,0.006,-0.027,26.371
2361,0.201,-0.488,10.107,-0.012,0.005,-0.027,26.379
2371,0.196,-0.483,10.102,-0.012,0.006,-0.027,26.379
2381,0.187,-0.469,10.107,-0.011,0.006,-0.026,26.352
2391,0.215,-0.488,10.064,-0.012,0.006,-0.026,26.352
2401,0.215,-0.498,10.083,-0.012,0.006,-0.026,26.352
2411,0.249,-0.502,10.098,-0.012,0.006,-0.027,26.352
2421,0.244,-0.522,10.069,-0.012,0.006,-0.027,26.395
2431,0.263,-0.507,10.107,-0.012,0.007,-0.027,26.395
2441,0.239,-0.517,10.026,-0.012,0.007,-0.027,26.387
2451,0.239,-0.512,10.040,-0.012,0.006,-0.027,26.387
2461,0.254,-0.512,10.074,-0.013,0.005,-0.027,26.367
2471,0.268,-0.522,10.083,-0.012,0.006,-0.027,26.367
2481,0.244,-0.512,10.102,-0.012,0.005,-0.027,26.355
2491,0.234,-0.517,10.083,-0.012,0.006,-0.026,26.355
2501,0.206,-0.502,10.079,-0.012,0.006,-0.027,26.344
2511,0.215,-0.488,10.079,-0.012,0.006,-0.026,26.344
2521,0.206,-0.498,10.083,-0.012,0.006,-0.027,26.336
2531,0.220,-0.474,10.088,-0.012,0.006,-0.027,26.336
2541,0.196,-0.483,10.059,-0.012,0.006,-0.027,26.316
2551,0.215,-0.488,10.045,-0.012,0.006,-0.027,26.316
2561,0.206,-0.502,10.102,-0.013,0.005,-0.027,26.355
2571,0.220,-0.493,10.117,-0.012,0.006,-0.027,26.355
2581,0.234,-0.488,10.079,-0.012,0.006,-0.027,26.332
2591,0.239,-0.507,10.040,-0.012,0.007,-0.026,26.332
2601,0.258,-0.498,10.035,-0.012,0.006,-0.026,26.340
2611,0.278,-0.483,10.069,-0.011,0.005,-0.026,26.340
2621,0.306,-0.507,10.083,-0.013,0.005,-0.026,26.383
2631,0.268,-0.522,10.093,-0.011,0.005,-0.027,26.383
2641,0.244,-0.517,10.083,-0.012,0.006,-0.027,26.359
2651,0.201,-0.517,10.102,-0.013,0.005,-0.027,26.359
2661,0.225,-0.541,10.093,-0.012,0.005,-0.027,26.371
2671,0.211,-0.502,10.045,-0.012,0.005,-0.027,26.371
2681,0.191,-0.526,10.117,-0.013,0.005,-0.027,26.363
2691,0.201,-0.517,10.083,-0.011,0.006,-0.027,26.363
2701,0.211,-0.488,10.107,-0.011,0.005,-0.027,26.355
2711,0.220,-0.488,10.088,-0.013,0.006,-0.026,26.355
2721,0.239,-0.474,10.098,-0.011,0.006,-0.024,26.359
2731,0.239,-0.469,10.045,-0.012,0.005,-0.026,26.359
2741,0.268,-0.479,10.083,-0.012,0.005,-0.026,26.344
2751,0.254,-0.483,10.093,-0.012,0.005,-0.026,26.344
2761,0.234,-0.488,10.126,-0.012,0.006,-0.027,26.355
2771,0.239,-0.474,10.083,-0.012,0.006,-0.027,26.355
2781,0.215,-0.479,10.069,-0.012,0.006,-0.026,26.359
2791,0.225,-0.488,10.064,-0.012,0.005,-0.027,26.359
2801,0.206,-0.512,10.093,-0.012,0.005,-0.027,26.340
2811,0.220,-0.517,10.040,-0.012,0.005,-0.026,26.340
2821,0.220,-0.531,10.093,-0.012,0.006,-0.027,26.340
2831,0.215,-0.531,10.083,-0.013,0.006,-0.026,26.340
2841,0.234,-0.526,10.102,-0.012,0.006,-0.027,26.344
2851,0.249,-0.512,10.069,-0.011,0.005,-0.027,26.344
2861,0.230,-0.522,10.098,-0.011,0.006,-0.027,26.355
2871,0.225,-0.507,10.098,-0.012,0.006,-0.027,26.355
2881,0.234,-0.517,10.117,-0.012,0.006,-0.026,26.352
2891,0.225,-0.483,10.012,-0.012,0.007,-0.026,26.352
2901,0.244,-0.488,10.069,-0.012,0.006,-0.026,26.336
2911,0.239,-0.498,10.083,-0.013,0.006,-0.027,26.336
2921,0.268,-0.474,10.083,-0.012,0.006,-0.027,26.340
2931,0.258,-0.488,10.083,-0.012,0.006,-0.027,26.340
2941,0.230,-0.488,10.079,-0.012,0.006,-0.027,26.383
2951,0.225,-0.488,10.074,-0.012,0.005,-0.027,26.383
2961,0.220,-0.498,10.093,-0.012,0.004,-0.027,26.332
2971,0.215,-0.507,10.112,-0.012,0.004,-0.027,26.332
2981,0.191,-0.498,10.055,-0.012,0.006,-0.027,26.355
