timestamp_ms, ax_mps2, ay_mps2, az_mps2, gx_rads, gy_rads, gz_rads, temp_c
1891,0.057,-0.512,10.117,-0.012,0.005,-0.027,26.207
1901,0.033,-0.498,10.102,-0.013,0.006,-0.027,26.273
1911,0.053,-0.479,10.088,-0.013,0.007,-0.026,26.273
1921,0.033,-0.479,10.069,-0.011,0.006,-0.027,26.215
1931,0.029,-0.512,10.050,-0.012,0.007,-0.026,26.215
1941,0.057,-0.498,10.069,-0.012,0.005,-0.027,26.285
1951,0.067,-0.493,10.079,-0.012,0.005,-0.027,26.285
1961,0.062,-0.493,10.126,-0.012,0.005,-0.027,26.246
1971,0.057,-0.488,10.088,-0.012,0.006,-0.027,26.246
1981,0.072,-0.493,10.102,-0.013,0.006,-0.027,26.230
1991,0.053,-0.488,10.064,-0.012,0.006,-0.027,26.230
2001,0.057,-0.493,10.069,-0.013,0.006,-0.026,26.285
2011,0.053,-0.498,10.083,-0.012,0.006,-0.027,26.285
2021,0.038,-0.498,10.107,-0.013,0.006,-0.027,26.258
2031,0.048,-0.488,10.069,-0.012,0.006,-0.026,26.258
2041,0.043,-0.488,10.083,-0.012,0.006,-0.027,26.258
2051,0.057,-0.483,10.093,-0.012,0.006,-0.027,26.258
2061,0.038,-0.488,10.107,-0.012,0.006,-0.027,26.285
2071,0.053,-0.493,10.098,-0.011,0.005,-0.026,26.285
2081,0.053,-0.483,10.093,-0.011,0.007,-0.026,26.230
2091,0.062,-0.488,10.069,-0.012,0.006,-0.027,26.230
2101,0.067,-0.469,10.098,-0.012,0.005,-0.027,26.254
2111,0.081,-0.488,10.069,-0.012,0.006,-0.026,26.254
2121,0.067,-0.498,10.064,-0.013,0.005,-0.027,26.230
2131,0.038,-0.493,10.088,-0.013,0.007,-0.026,26.230
2141,0.062,-0.488,10.083,-0.013,0.006,-0.026,26.258
2151,0.072,-0.493,10.098,-0.011,0.006,-0.027,26.258
2161,0.033,-0.507,10.088,-0.012,0.006,-0.026,26.238
2171,0.057,-0.522,10.079,-0.012,0.005,-0.027,26.238
2181,0.053,-0.498,10.093,-0.011,0.005,-0.027,26.230
2191,0.053,-0.502,10.117,-0.011,0.006,-0.026,26.230
2201,0.048,-0.512,10.088,-0.012,0.006,-0.026,26.219
2211,0.014,-0.498,10.088,-0.012,0.006,-0.027,26.219
2221,0.053,-0.483,10.088,-0.012,0.006,-0.027,26.254
2231,0.048,-0.483,10.079,-0.013,0.005,-0.026,26.254
2241,0.029,-0.488,10.069,-0.012,0.006,-0.027,26.215
2251,0.062,-0.488,10.088,-0.012,0.005,-0.027,26.215
2261,0.081,-0.479,10.112,-0.012,0.006,-0.027,26.219
